# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
NLJBGOEE_00013	GENE_NLJBGOEE_00013	TRANSCRIPT_NLJBGOEE_00013	protein_coding	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
NLJBGOEE_00014	GENE_NLJBGOEE_00014	TRANSCRIPT_NLJBGOEE_00014	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00015	GENE_NLJBGOEE_00015	TRANSCRIPT_NLJBGOEE_00015	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00016	GENE_NLJBGOEE_00016	TRANSCRIPT_NLJBGOEE_00016	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00017	GENE_NLJBGOEE_00017	TRANSCRIPT_NLJBGOEE_00017	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00018	GENE_NLJBGOEE_00018	TRANSCRIPT_NLJBGOEE_00018	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00019	GENE_NLJBGOEE_00019	TRANSCRIPT_NLJBGOEE_00019	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00020	GENE_NLJBGOEE_00020	TRANSCRIPT_NLJBGOEE_00020	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00021	GENE_NLJBGOEE_00021	TRANSCRIPT_NLJBGOEE_00021	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00024	GENE_NLJBGOEE_00024	TRANSCRIPT_NLJBGOEE_00024	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00025	GENE_NLJBGOEE_00025	TRANSCRIPT_NLJBGOEE_00025	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00026	GENE_NLJBGOEE_00026	TRANSCRIPT_NLJBGOEE_00026	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00027	GENE_NLJBGOEE_00027	TRANSCRIPT_NLJBGOEE_00027	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00028	GENE_NLJBGOEE_00028	TRANSCRIPT_NLJBGOEE_00028	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00029	GENE_NLJBGOEE_00029	TRANSCRIPT_NLJBGOEE_00029	protein_coding	0	0	1	4	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0
NLJBGOEE_00030	GENE_NLJBGOEE_00030	TRANSCRIPT_NLJBGOEE_00030	protein_coding	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4
NLJBGOEE_00031	GENE_NLJBGOEE_00031	TRANSCRIPT_NLJBGOEE_00031	protein_coding	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00032	GENE_NLJBGOEE_00032	TRANSCRIPT_NLJBGOEE_00032	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2
NLJBGOEE_00033	GENE_NLJBGOEE_00033	TRANSCRIPT_NLJBGOEE_00033	protein_coding	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3
NLJBGOEE_00034	GENE_NLJBGOEE_00034	TRANSCRIPT_NLJBGOEE_00034	protein_coding	0	0	1	4	0	0	0	0	2	0	0	1	0	0	0	0	0	0	2
NLJBGOEE_00035	GENE_NLJBGOEE_00035	TRANSCRIPT_NLJBGOEE_00035	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
NLJBGOEE_00036	GENE_NLJBGOEE_00036	TRANSCRIPT_NLJBGOEE_00036	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
NLJBGOEE_00037	GENE_NLJBGOEE_00037	TRANSCRIPT_NLJBGOEE_00037	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
NLJBGOEE_00038	GENE_NLJBGOEE_00038	TRANSCRIPT_NLJBGOEE_00038	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00039	GENE_NLJBGOEE_00039	TRANSCRIPT_NLJBGOEE_00039	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00040	GENE_NLJBGOEE_00040	TRANSCRIPT_NLJBGOEE_00040	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3
NLJBGOEE_00041	GENE_NLJBGOEE_00041	TRANSCRIPT_NLJBGOEE_00041	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3
NLJBGOEE_00042	GENE_NLJBGOEE_00042	TRANSCRIPT_NLJBGOEE_00042	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00043	GENE_NLJBGOEE_00043	TRANSCRIPT_NLJBGOEE_00043	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00044	GENE_NLJBGOEE_00044	TRANSCRIPT_NLJBGOEE_00044	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00045	GENE_NLJBGOEE_00045	TRANSCRIPT_NLJBGOEE_00045	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NLJBGOEE_00046	GENE_NLJBGOEE_00046	TRANSCRIPT_NLJBGOEE_00046	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00047	GENE_NLJBGOEE_00047	TRANSCRIPT_NLJBGOEE_00047	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00048	GENE_NLJBGOEE_00048	TRANSCRIPT_NLJBGOEE_00048	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00049	GENE_NLJBGOEE_00049	TRANSCRIPT_NLJBGOEE_00049	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00050	GENE_NLJBGOEE_00050	TRANSCRIPT_NLJBGOEE_00050	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00057	GENE_NLJBGOEE_00057	TRANSCRIPT_NLJBGOEE_00057	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00058	GENE_NLJBGOEE_00058	TRANSCRIPT_NLJBGOEE_00058	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00059	GENE_NLJBGOEE_00059	TRANSCRIPT_NLJBGOEE_00059	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00060	GENE_NLJBGOEE_00060	TRANSCRIPT_NLJBGOEE_00060	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00061	GENE_NLJBGOEE_00061	TRANSCRIPT_NLJBGOEE_00061	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00062	GENE_NLJBGOEE_00062	TRANSCRIPT_NLJBGOEE_00062	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00063	GENE_NLJBGOEE_00063	TRANSCRIPT_NLJBGOEE_00063	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NLJBGOEE_00064	GENE_NLJBGOEE_00064	TRANSCRIPT_NLJBGOEE_00064	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00065	GENE_NLJBGOEE_00065	TRANSCRIPT_NLJBGOEE_00065	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00066	GENE_NLJBGOEE_00066	TRANSCRIPT_NLJBGOEE_00066	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00067	GENE_NLJBGOEE_00067	TRANSCRIPT_NLJBGOEE_00067	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00068	GENE_NLJBGOEE_00068	TRANSCRIPT_NLJBGOEE_00068	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00069	GENE_NLJBGOEE_00069	TRANSCRIPT_NLJBGOEE_00069	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00070	GENE_NLJBGOEE_00070	TRANSCRIPT_NLJBGOEE_00070	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00071	GENE_NLJBGOEE_00071	TRANSCRIPT_NLJBGOEE_00071	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00072	GENE_NLJBGOEE_00072	TRANSCRIPT_NLJBGOEE_00072	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00073	GENE_NLJBGOEE_00073	TRANSCRIPT_NLJBGOEE_00073	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NLJBGOEE_00074	GENE_NLJBGOEE_00074	TRANSCRIPT_NLJBGOEE_00074	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00075	GENE_NLJBGOEE_00075	TRANSCRIPT_NLJBGOEE_00075	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00076	GENE_NLJBGOEE_00076	TRANSCRIPT_NLJBGOEE_00076	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00077	GENE_NLJBGOEE_00077	TRANSCRIPT_NLJBGOEE_00077	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00078	GENE_NLJBGOEE_00078	TRANSCRIPT_NLJBGOEE_00078	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00079	GENE_NLJBGOEE_00079	TRANSCRIPT_NLJBGOEE_00079	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00080	null	NLJBGOEE_00080	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00080	null	NLJBGOEE_00081	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00080	null	NLJBGOEE_00176	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00080	null	NLJBGOEE_00841	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00080	null	NLJBGOEE_00842	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00080	null	NLJBGOEE_01256	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00080	null	NLJBGOEE_01277	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
NLJBGOEE_00080	null	NLJBGOEE_01427	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00080	null	NLJBGOEE_01428	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00080	null	NLJBGOEE_01429	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00080	null	NLJBGOEE_01539	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NLJBGOEE_00080	null	NLJBGOEE_01543	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00080	null	NLJBGOEE_01735	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NLJBGOEE_00080	null	NLJBGOEE_01757	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00080	null	NLJBGOEE_01758	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00080	null	NLJBGOEE_01759	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00080	null	NLJBGOEE_01861	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00080	null	NLJBGOEE_02185	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NLJBGOEE_00080	null	NLJBGOEE_02359	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00080	null	NLJBGOEE_02484	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00080	null	NLJBGOEE_02523	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00080	null	NLJBGOEE_02702	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00080	null	NLJBGOEE_02703	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00080	null	NLJBGOEE_02721	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00080	null	NLJBGOEE_03841	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NLJBGOEE_00080	null	NLJBGOEE_03852	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NLJBGOEE_00080	null	NLJBGOEE_03853	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NLJBGOEE_00080	null	NLJBGOEE_03854	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NLJBGOEE_00080	null	NLJBGOEE_03855	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NLJBGOEE_00080	null	NLJBGOEE_04403	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NLJBGOEE_00080	null	NLJBGOEE_04540	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00080	null	NLJBGOEE_04965	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00080	null	NLJBGOEE_04966	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00080	null	NLJBGOEE_04967	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00080	null	NLJBGOEE_05223	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00080	null	NLJBGOEE_05517	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00080	null	NLJBGOEE_05551	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
NLJBGOEE_00080	null	NLJBGOEE_05576	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00080	null	NLJBGOEE_05577	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00080	null	NLJBGOEE_05578	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00080	null	NLJBGOEE_05580	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00080	null	NLJBGOEE_05882	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00080	null	NLJBGOEE_05914	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2
NLJBGOEE_00080	null	NLJBGOEE_06095	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00080	null	NLJBGOEE_06226	rRNA	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00080	null	NLJBGOEE_06227	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00080	null	NLJBGOEE_06228	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00080	null	NLJBGOEE_06229	rRNA	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00082	GENE_NLJBGOEE_00082	TRANSCRIPT_NLJBGOEE_00082	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00083	GENE_NLJBGOEE_00083	TRANSCRIPT_NLJBGOEE_00083	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00084	GENE_NLJBGOEE_00084	TRANSCRIPT_NLJBGOEE_00084	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00085	GENE_NLJBGOEE_00085	TRANSCRIPT_NLJBGOEE_00085	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00086	GENE_NLJBGOEE_00086	TRANSCRIPT_NLJBGOEE_00086	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NLJBGOEE_00087	GENE_NLJBGOEE_00087	TRANSCRIPT_NLJBGOEE_00087	protein_coding	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
NLJBGOEE_00088	GENE_NLJBGOEE_00088	TRANSCRIPT_NLJBGOEE_00088	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00089	GENE_NLJBGOEE_00089	TRANSCRIPT_NLJBGOEE_00089	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00090	GENE_NLJBGOEE_00090	TRANSCRIPT_NLJBGOEE_00090	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
NLJBGOEE_00091	GENE_NLJBGOEE_00091	TRANSCRIPT_NLJBGOEE_00091	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NLJBGOEE_00092	GENE_NLJBGOEE_00092	TRANSCRIPT_NLJBGOEE_00092	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00093	GENE_NLJBGOEE_00093	TRANSCRIPT_NLJBGOEE_00093	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00094	GENE_NLJBGOEE_00094	TRANSCRIPT_NLJBGOEE_00094	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00105	GENE_NLJBGOEE_00105	TRANSCRIPT_NLJBGOEE_00105	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00106	GENE_NLJBGOEE_00106	TRANSCRIPT_NLJBGOEE_00106	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00107	GENE_NLJBGOEE_00107	TRANSCRIPT_NLJBGOEE_00107	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00108	GENE_NLJBGOEE_00108	TRANSCRIPT_NLJBGOEE_00108	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00109	GENE_NLJBGOEE_00109	TRANSCRIPT_NLJBGOEE_00109	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00110	GENE_NLJBGOEE_00110	TRANSCRIPT_NLJBGOEE_00110	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
NLJBGOEE_00111	GENE_NLJBGOEE_00111	TRANSCRIPT_NLJBGOEE_00111	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00112	GENE_NLJBGOEE_00112	TRANSCRIPT_NLJBGOEE_00112	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
NLJBGOEE_00113	GENE_NLJBGOEE_00113	TRANSCRIPT_NLJBGOEE_00113	protein_coding	0	0	2	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0
NLJBGOEE_00114	GENE_NLJBGOEE_00114	TRANSCRIPT_NLJBGOEE_00114	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00115	GENE_NLJBGOEE_00115	TRANSCRIPT_NLJBGOEE_00115	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NLJBGOEE_00116	GENE_NLJBGOEE_00116	TRANSCRIPT_NLJBGOEE_00116	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
NLJBGOEE_00117	GENE_NLJBGOEE_00117	TRANSCRIPT_NLJBGOEE_00117	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NLJBGOEE_00118	GENE_NLJBGOEE_00118	TRANSCRIPT_NLJBGOEE_00118	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NLJBGOEE_00119	GENE_NLJBGOEE_00119	TRANSCRIPT_NLJBGOEE_00119	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NLJBGOEE_00120	GENE_NLJBGOEE_00120	TRANSCRIPT_NLJBGOEE_00120	protein_coding	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
NLJBGOEE_00121	GENE_NLJBGOEE_00121	TRANSCRIPT_NLJBGOEE_00121	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NLJBGOEE_00122	GENE_NLJBGOEE_00122	TRANSCRIPT_NLJBGOEE_00122	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NLJBGOEE_00123	GENE_NLJBGOEE_00123	TRANSCRIPT_NLJBGOEE_00123	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00124	GENE_NLJBGOEE_00124	TRANSCRIPT_NLJBGOEE_00124	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00125	GENE_NLJBGOEE_00125	TRANSCRIPT_NLJBGOEE_00125	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
NLJBGOEE_00127	GENE_NLJBGOEE_00127	TRANSCRIPT_NLJBGOEE_00127	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00128	GENE_NLJBGOEE_00128	TRANSCRIPT_NLJBGOEE_00128	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NLJBGOEE_00129	GENE_NLJBGOEE_00129	TRANSCRIPT_NLJBGOEE_00129	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
